version: 3.2.0
server-time: 2020-12-24-11-04
user_agent: mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/87.0.4280.88 safari/537.36 edg/87.0.664.66
screen_width: 0
screen_height: 0
html_width: 0
html_height: 0
user_time: 0
T: 0
l: nome
stime: 2020-12-24-11-04
T: 18665
t: textline
a: k
l: nome
stime: 2020-12-24-11-04
T: 18665
t: textline
a: k
l: cognome
stime: 2020-12-24-11-04
T: 18665
t: textline
a: l
l: nome
stime: 2020-12-24-11-04
T: 18665
t: textline
a: k
l: cognome
stime: 2020-12-24-11-04
T: 18665
t: textline
a: l
l: anno
stime: 2020-12-24-11-04
T: 18665
t: textline
a: 1901
l: nome
stime: 2020-12-24-11-04
T: 18665
t: textline
a: k
l: cognome
stime: 2020-12-24-11-04
T: 18665
t: textline
a: l
l: anno
stime: 2020-12-24-11-04
T: 18665
t: textline
a: 1901
l: mese
stime: 2020-12-24-11-04
T: 18665
t: textline
a: 
l: nome
stime: 2020-12-24-11-04
T: 18665
t: textline
a: k
l: cognome
stime: 2020-12-24-11-04
T: 18665
t: textline
a: l
l: anno
stime: 2020-12-24-11-04
T: 18665
t: textline
a: 1901
l: mese
stime: 2020-12-24-11-04
T: 18665
t: textline
a: 
l: giorno
stime: 2020-12-24-11-04
T: 18665
t: textline
a: 
l: nome
stime: 2020-12-24-11-04
T: 18665
t: textline
a: k
l: cognome
stime: 2020-12-24-11-04
T: 18665
t: textline
a: l
l: anno
stime: 2020-12-24-11-04
T: 18665
t: textline
a: 1901
l: mese
stime: 2020-12-24-11-04
T: 18665
t: textline
a: 
l: giorno
stime: 2020-12-24-11-04
T: 18665
t: textline
a: 
l: cellulare
stime: 2020-12-24-11-04
T: 18665
t: textline
a: 
l: nome
stime: 2020-12-24-11-04
T: 18665
t: textline
a: k
l: cognome
stime: 2020-12-24-11-04
T: 18665
t: textline
a: l
l: anno
stime: 2020-12-24-11-04
T: 18665
t: textline
a: 1901
l: mese
stime: 2020-12-24-11-04
T: 18665
t: textline
a: 
l: giorno
stime: 2020-12-24-11-04
T: 18665
t: textline
a: 
l: cellulare
stime: 2020-12-24-11-04
T: 18665
t: textline
a: 
l: sesso
stime: 2020-12-24-11-04
T: 18665
t: radio
a: 1
