param_prl  stim  subj_idx    value_prl           std        2.5q          25q         50q         75q       97.5q       mc_err
a    food    1                  1.25972   0.0569793     1.14982      1.22279     1.25834      1.2967      1.3738   0.00209151
a    food    2                 0.935608   0.0446978    0.852372     0.903253    0.934756    0.964607     1.02826   0.00152908
a    food    3                  1.26207   0.0495285     1.16961        1.228     1.26116     1.29447     1.36329   0.00145867
a    food    4                  1.66649   0.0700632     1.52416      1.62037      1.6664     1.71485     1.80123   0.00208368
a    food    5                  1.30864   0.0579015     1.19748       1.2692     1.30518      1.3459     1.43032   0.00208267
a    food    6                  1.34726    0.053877      1.2483      1.30955     1.34461     1.38138     1.46073   0.00166135
a    food    7                  1.53856   0.0568363     1.43286       1.4997     1.53463     1.57594     1.65816   0.00155437
a    food    8                  1.69323   0.0642518     1.57107      1.64869     1.69225     1.73478     1.82366   0.00211203
a    food    9                  1.13943   0.0485643     1.05005      1.10407     1.13825     1.17064     1.24013   0.00152429
a    food    10                 1.62973    0.062713     1.51285      1.58816     1.62727     1.67045     1.76133   0.00219389
a    food    11                 1.51619   0.0623795      1.4043      1.47201     1.51335     1.55641     1.64187   0.00191175
a    food    12                 1.40347    0.052107     1.30284      1.36877     1.40274     1.43945     1.50285   0.00154107
a    food    13                0.884391   0.0345561    0.819188      0.86074     0.88303    0.907829    0.954411   0.00107062
a    food    14                 1.40375   0.0700413     1.27116      1.35501      1.4027     1.44948     1.55027    0.0026322
a    food    15                 1.69631   0.0659522     1.56921      1.65141     1.69514     1.74001     1.82951    0.0020216
a    food    16                  1.4606    0.060519     1.34359      1.41976     1.45842     1.49863     1.58349   0.00206955
a    food    17                 1.55026   0.0600273     1.43822      1.50706     1.54766     1.59155     1.66995   0.00166822
a    food    18                 1.83515   0.0717335     1.69438      1.78635     1.83393     1.88071      1.9823   0.00219148
a    food    19                 1.66972   0.0664646     1.54922       1.6236     1.66616      1.7115     1.80533   0.00163724
a    food    20                   1.391   0.0565857     1.28285      1.35219      1.3909     1.42859     1.50651     0.001778
a    food    21                 1.40797   0.0599808     1.28792       1.3675     1.40914     1.44929     1.52494   0.00234878
a    food    22                  1.6051   0.0608816     1.49358      1.56235     1.60413     1.64633      1.7282   0.00184794
a    food    23                 1.29932   0.0543344      1.1995      1.26227     1.29726     1.33629     1.41006   0.00168995
a    food    24                 1.24971    0.063127     1.13333      1.20707     1.24877     1.29002     1.38115   0.00223945
a    food    25                 1.30701   0.0651168     1.18943      1.26212     1.30374     1.35096     1.44342   0.00223589
a    food    26                 1.22958   0.0482589     1.13724      1.19537     1.22972     1.26094     1.33002   0.00148366
a    food    27                 1.21097   0.0483472     1.12106      1.17824     1.21002      1.2431     1.30907   0.00156988
a    food    28                 1.59011    0.061311     1.47234      1.54937     1.58945     1.63262     1.71294   0.00192356
a    food    29                 1.68637   0.0661541     1.56226      1.64144      1.6844      1.7296     1.81973   0.00173054
a    food    30                 1.28916   0.0498142     1.19633      1.25601     1.28806      1.3218     1.38924   0.00144318
a    food    31                 1.63067   0.0659361     1.50563      1.58524     1.62652     1.67438     1.76242   0.00189776
a    food    32                 1.30961   0.0498357     1.21182      1.27629     1.31009     1.34413     1.40652   0.00148915
a    food    33                 1.53296   0.0708299     1.39483      1.48426     1.53191     1.58205     1.67399   0.00252179
a    food    34                 1.59266   0.0665566     1.46468      1.54505     1.59151     1.63814     1.72302   0.00212652
a    food    35                 1.39101   0.0685985     1.24435      1.34907     1.39538     1.43747     1.51783   0.00302311
a    food    36                 1.44944   0.0583443     1.33784      1.40896     1.45005      1.4899     1.56022   0.00183328
a    food    37                 1.46082   0.0642712      1.3419      1.41576     1.45835     1.50227     1.59453   0.00186743
a    food    38                 1.62459   0.0637467     1.50432      1.58062     1.62232     1.66791     1.75203   0.00211329
a    food    39                 1.46178   0.0640241     1.34179      1.41654     1.46079     1.50449      1.5873   0.00221098
a    food    40                 1.60945   0.0740812     1.47519      1.55807     1.60751     1.65807     1.75931   0.00258853
a    food    41                 1.01664   0.0537426    0.914996     0.978339     1.01512     1.05189     1.12465   0.00228952
a    food    42                 1.06469   0.0613935     0.95195      1.02279     1.06308     1.10558     1.18524   0.00254558
a    food    43                 1.43021   0.0734953      1.2934      1.37996     1.42546     1.47719     1.58675   0.00307544
a    food    44                 1.31485   0.0602177     1.19717      1.27399     1.31574     1.35338     1.43601   0.00235587
a    food    45                 1.46904   0.0545854     1.36349      1.43023     1.46737     1.50537     1.57638   0.00146362
a    food    46                 1.11447   0.0486855     1.02192      1.08269     1.11419     1.14741     1.21117   0.00140438
a    food    47                0.867118   0.0388405    0.797674     0.839769    0.864215    0.892383     0.94975   0.00128655
a    food    48                 1.68639   0.0669489     1.55833      1.63996     1.68477      1.7308     1.81968   0.00221852
a    food    49                 1.76345   0.0629923     1.63788      1.72113     1.76116     1.80488     1.89266   0.00162713
a    food    50                0.992208   0.0525147    0.894681     0.955501    0.992867     1.02867     1.09199   0.00203494
a    food    51                 1.24366   0.0588641     1.12836      1.20333     1.24272     1.28255      1.3603   0.00204255
a    food    52                 1.52022   0.0794046     1.37451      1.46591     1.51818     1.57249     1.68307   0.00277641
a    food    53                 1.91913   0.0689338     1.79281      1.87035     1.91641     1.96443     2.06046    0.0021366
