,rt,response,subj_idx,condition,z_x,x,a_population
0,0.45844567812952985,0.0,0.0,level1,-1.5811388300841895,0.0,0.3675444679663241
1,0.47744567813354366,1.0,0.0,level1,-1.5811388300841895,0.0,0.3675444679663241
2,0.45844567812952985,0.0,0.0,level1,-1.5811388300841895,0.0,0.3675444679663241
3,0.4504456781295272,0.0,0.0,level1,-1.5811388300841895,0.0,0.3675444679663241
4,0.4514456781295275,0.0,0.0,level1,-1.5811388300841895,0.0,0.3675444679663241
5,0.4424456781295245,0.0,0.0,level1,-1.5811388300841895,0.0,0.3675444679663241
6,0.46544567813353965,1.0,0.0,level1,-1.5811388300841895,0.0,0.3675444679663241
7,0.478445678133544,1.0,0.0,level1,-1.5811388300841895,0.0,0.3675444679663241
8,0.45644567813353665,1.0,0.0,level1,-1.5811388300841895,0.0,0.3675444679663241
9,0.4584456781335373,1.0,0.0,level1,-1.5811388300841895,0.0,0.3675444679663241
10,0.45644567813353665,1.0,0.0,level1,-1.5811388300841895,0.0,0.3675444679663241
11,0.43244567812952117,0.0,0.0,level1,-1.5811388300841895,0.0,0.3675444679663241
12,0.43444567812952184,0.0,0.0,level1,-1.5811388300841895,0.0,0.3675444679663241
13,0.4804456781295372,0.0,0.0,level1,-1.5811388300841895,0.0,0.3675444679663241
14,0.43244567812952117,0.0,0.0,level1,-1.5811388300841895,0.0,0.3675444679663241
15,0.48644567813354667,1.0,0.0,level1,-1.5811388300841895,0.0,0.3675444679663241
16,0.4604456781295305,0.0,0.0,level1,-1.5811388300841895,0.0,0.3675444679663241
17,0.47744567813354366,1.0,0.0,level1,-1.5811388300841895,0.0,0.3675444679663241
18,0.5134456781335557,1.0,0.0,level1,-1.5811388300841895,0.0,0.3675444679663241
19,0.4494456781335343,1.0,0.0,level1,-1.5811388300841895,0.0,0.3675444679663241
20,0.4314456781335283,1.0,0.0,level1,-1.5811388300841895,0.0,0.3675444679663241
21,0.4624456781295312,0.0,0.0,level1,-1.5811388300841895,0.0,0.3675444679663241
22,0.4404456781335313,1.0,0.0,level1,-1.5811388300841895,0.0,0.3675444679663241
23,0.5184456781335574,1.0,0.0,level1,-1.5811388300841895,0.0,0.3675444679663241
24,0.46744567812953286,0.0,0.0,level1,-1.5811388300841895,0.0,0.3675444679663241
25,0.4404456781335313,1.0,0.0,level1,-1.5811388300841895,0.0,0.3675444679663241
26,0.4444456781295252,0.0,0.0,level1,-1.5811388300841895,0.0,0.3675444679663241
27,0.4414456781295242,0.0,0.0,level1,-1.5811388300841895,0.0,0.3675444679663241
