,subj_idx,response,split_by,rt,trial,feedback,samp,type
8480,0,0.0,0,0.99,1,1.0,0,observed
8481,0,1.0,1,0.904,1,0.0,0,observed
8482,0,0.0,0,1.306,2,1.0,0,observed
8483,0,1.0,1,0.523,2,0.0,0,observed
8484,0,0.0,0,1.565,3,0.0,0,observed
8485,0,1.0,1,0.875,3,0.0,0,observed
8486,0,1.0,0,1.302,4,0.0,0,observed
8487,0,0.0,1,0.937,4,0.0,0,observed
8488,0,1.0,0,1.625,5,1.0,0,observed
8489,0,0.0,1,1.001,5,1.0,0,observed
8490,0,1.0,0,0.872,6,1.0,0,observed
8491,0,0.0,1,1.376,6,0.0,0,observed
8492,0,0.0,0,1.239,7,1.0,0,observed
8493,0,1.0,1,0.959,7,1.0,0,observed
8494,0,0.0,0,0.838,8,1.0,0,observed
8495,0,0.0,1,0.506,8,0.0,0,observed
8496,0,1.0,0,1.831,9,0.0,0,observed
8497,0,0.0,1,0.748,9,0.0,0,observed
8498,0,1.0,0,0.461,10,1.0,0,observed
8499,0,0.0,1,1.438,10,0.0,0,observed
8500,0,1.0,0,0.497,11,0.0,0,observed
8501,0,0.0,1,1.815,11,1.0,0,observed
8502,0,0.0,0,2.211,12,1.0,0,observed
8503,0,1.0,1,1.352,12,0.0,0,observed
8504,0,1.0,0,0.371,13,0.0,0,observed
8505,0,0.0,1,0.31,13,0.0,0,observed
8506,0,1.0,0,0.408,14,1.0,0,observed
8507,0,0.0,1,0.58,14,0.0,0,observed
8508,0,1.0,0,0.534,15,1.0,0,observed
8509,0,1.0,1,0.647,15,0.0,0,observed
8510,0,1.0,0,0.533,16,1.0,0,observed
8511,0,1.0,1,0.39,16,0.0,0,observed
8512,0,0.0,0,0.515,17,0.0,0,observed
8513,0,1.0,1,0.722,17,0.0,0,observed
8514,0,1.0,0,0.498,18,0.0,0,observed
8515,0,0.0,1,0.411,18,0.0,0,observed
8516,0,0.0,0,0.633,19,1.0,0,observed
8517,0,1.0,1,0.459,19,0.0,0,observed
8518,0,0.0,0,0.55,20,1.0,0,observed
8519,0,0.0,1,0.669,20,0.0,0,observed
8520,0,1.0,0,0.824,21,0.0,0,observed
8521,0,1.0,1,0.557,21,0.0,0,observed
8522,0,1.0,0,1.158,22,0.0,0,observed
8523,0,0.0,1,0.49,22,1.0,0,observed
8524,0,1.0,0,1.74,23,0.0,0,observed
8525,0,0.0,1,0.548,23,1.0,0,observed
8526,0,1.0,0,0.544,24,1.0,0,observed
8527,0,0.0,1,1.043,24,1.0,0,observed
8528,0,1.0,0,0.414,25,1.0,0,observed
8529,0,0.0,1,0.468,25,1.0,0,observed
8530,0,1.0,0,0.387,26,1.0,0,observed
8531,0,0.0,1,0.445,26,0.0,0,observed
8532,0,1.0,0,0.47,27,0.0,0,observed
8533,0,1.0,1,0.392,27,0.0,0,observed
8534,0,0.0,0,0.995,28,1.0,0,observed
8535,0,0.0,1,0.582,28,1.0,0,observed
8536,0,0.0,0,0.613,29,1.0,0,observed
8537,0,0.0,1,0.354,29,1.0,0,observed
8538,0,1.0,0,1.518,30,1.0,0,observed
8539,0,0.0,1,0.502,30,1.0,0,observed
8540,0,1.0,0,0.586,31,0.0,0,observed
8541,0,0.0,1,0.633,31,1.0,0,observed
8542,0,1.0,0,1.536,32,0.0,0,observed
8543,0,1.0,1,0.957,32,0.0,0,observed
8544,0,1.0,0,0.428,33,0.0,0,observed
8545,0,1.0,1,0.397,33,1.0,0,observed
8546,0,1.0,0,0.498,34,0.0,0,observed
8547,0,0.0,1,0.484,34,1.0,0,observed
8548,0,0.0,0,1.026,35,1.0,0,observed
8549,0,0.0,1,0.47,35,1.0,0,observed
8550,0,0.0,0,0.52,36,1.0,0,observed
8551,0,0.0,1,0.563,36,1.0,0,observed
8552,0,0.0,0,0.752,37,1.0,0,observed
8553,0,0.0,1,0.401,37,1.0,0,observed
8554,0,0.0,0,0.92,38,0.0,0,observed
8555,0,0.0,1,0.48,38,1.0,0,observed
8556,0,1.0,0,0.793,39,0.0,0,observed
8557,0,1.0,1,0.44,39,0.0,0,observed
8558,0,1.0,0,0.758,40,0.0,0,observed
8559,0,1.0,1,0.586,40,0.0,0,observed
8560,0,0.0,0,0.571,41,1.0,0,observed
8561,0,0.0,1,0.547,41,0.0,0,observed
8562,0,0.0,0,0.372,42,0.0,0,observed
8563,0,0.0,1,0.778,42,0.0,0,observed
8564,0,0.0,0,0.412,43,0.0,0,observed
8565,0,1.0,1,0.668,43,1.0,0,observed
8566,0,0.0,0,1.185,44,0.0,0,observed
8567,0,1.0,1,0.459,44,1.0,0,observed
8568,0,0.0,0,0.434,45,1.0,0,observed
8569,0,1.0,1,0.758,45,0.0,0,observed
8570,0,0.0,0,0.593,46,0.0,0,observed
8571,0,0.0,1,0.488,46,0.0,0,observed
8572,0,1.0,0,0.553,47,0.0,0,observed
8573,0,1.0,1,0.552,47,1.0,0,observed
8574,0,0.0,0,1.822,48,0.0,0,observed
8575,0,1.0,1,0.346,48,0.0,0,observed
8576,0,0.0,0,1.269,49,0.0,0,observed
8577,0,0.0,1,0.436,49,0.0,0,observed
8578,0,1.0,0,1.15,50,0.0,0,observed
8579,0,1.0,1,1.629,50,1.0,0,observed
8580,0,0.0,0,1.102,51,1.0,0,observed
8581,0,1.0,1,0.384,51,1.0,0,observed
8582,0,0.0,0,0.412,52,1.0,0,observed
8583,0,1.0,1,0.412,52,1.0,0,observed
8584,0,0.0,0,2.092,53,0.0,0,observed
8585,0,1.0,1,0.735,53,0.0,0,observed
8586,0,1.0,0,0.996,54,0.0,0,observed
8587,0,0.0,1,0.503,54,1.0,0,observed
8588,0,1.0,0,1.591,55,0.0,0,observed
8589,0,0.0,1,0.428,55,1.0,0,observed
8590,0,0.0,0,1.421,56,0.0,0,observed
8591,0,1.0,1,0.53,56,0.0,0,observed
8592,0,0.0,0,0.62,57,0.0,0,observed
8593,0,1.0,1,1.217,57,1.0,0,observed
8594,0,0.0,0,0.331,58,0.0,0,observed
8595,0,1.0,1,0.416,58,1.0,0,observed
8596,0,0.0,0,2.216,59,0.0,0,observed
8597,0,1.0,1,0.652,59,1.0,0,observed
8598,0,1.0,0,2.332,60,1.0,0,observed
8599,0,1.0,1,0.391,60,1.0,0,observed
8600,0,1.0,0,0.485,61,1.0,0,observed
8601,0,1.0,1,0.541,61,1.0,0,observed
8602,0,1.0,0,0.574,62,1.0,0,observed
8603,0,0.0,1,0.849,62,0.0,0,observed
8604,0,1.0,0,0.343,63,1.0,0,observed
8605,0,0.0,1,0.602,63,1.0,0,observed
8606,0,1.0,0,0.337,64,1.0,0,observed
8607,0,0.0,1,0.97,64,1.0,0,observed
8608,0,1.0,0,0.756,65,1.0,0,observed
8609,0,0.0,1,0.371,65,0.0,0,observed
8610,0,1.0,0,0.385,66,1.0,0,observed
8611,0,1.0,1,0.502,66,0.0,0,observed
8612,0,1.0,0,0.51,67,1.0,0,observed
8613,0,0.0,1,0.492,67,1.0,0,observed
8614,0,1.0,0,0.53,68,1.0,0,observed
8615,0,0.0,1,0.456,68,1.0,0,observed
8616,0,1.0,0,0.371,69,0.0,0,observed
8617,0,0.0,1,0.572,69,1.0,0,observed
8618,0,0.0,0,0.744,70,0.0,0,observed
8619,0,0.0,1,0.457,70,0.0,0,observed
