participant,nome,cognome,anno,mese,giorno,cellulare,sesso,esperimento,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.2da0a993-9567-4448-a207-cd5f0c42a3e2.txt,22642,22642,22642,22642,22642,22642,22642,"",0,2021-05-19-11-18,2021-05-19-11-23,5
s.40b71e4a-b872-4d7e-94c7-e38fde0f3789.txt,32152,32152,32152,32152,32152,32152,32152,"",0,2021-07-16-15-24,2021-07-16-15-29,5
s.de1668cf-343b-46cc-9279-fb53c49e73db.txt,30999,30999,30999,30999,30999,30999,30999,"",0,2021-06-16-21-46,2021-06-16-21-51,5
s.d3ef7d2f-e26f-47e9-9a69-364edf8e3683.txt,22586,22586,22586,22586,22586,22586,22586,"",0,2021-01-25-15-15,2021-01-25-15-22,7
s.395484ae-fd6d-4007-9eb3-828220b2083d.txt,24513,24513,24513,24513,24513,24513,24513,"",0,2021-06-09-16-08,2021-06-09-16-13,5
s.dfc76f67-e730-4115-afe5-a648e29dabbd.txt,24887,24887,24887,24887,24887,24887,24887,"",0,2021-06-14-10-29,2021-06-14-10-37,8
s.0b828992-6475-4365-9ea0-97b8d12d7e32.txt,19562,19562,19562,19562,19562,19562,19562,"",0,2021-01-14-10-34,2021-01-14-10-39,5
s.867329a4-9136-4a22-b839-6de5e7b1a97e.txt,29627,29627,29627,29627,29627,29627,29627,"",0,2021-06-22-17-10,2021-06-22-17-17,7
s.82fa6e88-f302-4873-93c1-3ee1594512a2.txt,18241,18241,18241,18241,18241,18241,18241,"",0,2021-01-26-14-25,2021-01-26-14-30,5
s.b08b878b-ff46-4883-b7a8-07fe29fa3aff.txt,16439,16439,16439,16439,16439,16439,16439,"",0,2021-04-26-20-21,"",""
s.7673dded-d5b0-4873-89e4-e1a5407aef65.txt,35113,35113,35113,35113,35113,35113,35113,"",0,2021-03-01-18-29,2021-03-01-18-35,6
s.7de31566-3006-49b3-98c8-922e31e652ce.txt,17371,17371,17371,17371,17371,17371,17371,"",0,2021-06-16-17-33,2021-06-16-17-39,6
s.eaa5fc57-758c-42a2-bdb3-16159e97d066.txt,30782,30782,30782,30782,30782,30782,30782,"",0,2021-01-19-16-17,2021-01-19-16-23,6
s.b48ac399-cd3b-4734-8415-5652f597e67b.txt,"","","","","","","","",0,2021-07-08-18-01,"",""
s.151e9653-30f9-4cab-b832-102a30c4b037.txt,17489,17489,17489,17489,17489,17489,17489,"",0,2021-06-01-12-03,2021-06-01-12-08,5
s.51b9589f-ec5f-4c28-896e-686fccd9ef5d.txt,24616,24616,24616,24616,24616,24616,24616,"",0,2021-02-23-14-12,2021-02-23-14-17,5
s.0ef7e807-b38e-47a6-acff-16fb9975ceb8.txt,18578,18578,18578,18578,18578,18578,18578,"",0,2021-06-10-11-04,2021-06-10-11-10,6
s.b7e87fbc-662d-4e50-af36-9681a6df2ea8.txt,33722,33722,33722,33722,33722,33722,33722,"",0,2021-02-03-16-20,2021-02-03-16-26,6
s.67ae304b-7f09-4640-89eb-634dde21a5a4.txt,28719,28719,28719,28719,28719,28719,28719,"",0,2021-05-18-16-24,2021-05-18-16-30,6
s.7b9963ea-9380-4b09-a61e-395cf6fe3525.txt,36841,36841,36841,36841,36841,36841,36841,"",0,2021-01-25-17-54,2021-01-25-18-01,7
s.0d25ed59-38f7-46f9-9f00-a128ac8bf2ed.txt,18838,18838,18838,18838,18838,18838,18838,"",0,2021-06-17-10-01,"",""
s.1ed72dcc-d547-4925-80c0-2ff161273231.txt,33177,33177,33177,33177,33177,33177,33177,"",0,2021-01-19-15-07,2021-01-19-15-13,6
s.6ced6cde-dbe6-4176-b3c1-600ba6320300.txt,31424,31424,31424,31424,31424,31424,31424,"",0,2021-02-03-18-56,2021-02-03-19-02,6
s.06b30dbc-a754-4877-b62e-64f9d5e188b5.txt,24886,24886,24886,24886,24886,24886,24886,"",0,2021-01-08-15-03,"",""
s.0046dc18-f31a-473e-9b03-40c14bcc3fd4.txt,23846,23846,23846,23846,23846,23846,23846,"",0,2021-05-04-17-39,2021-05-04-17-44,5
s.c27a21f7-0143-4aea-8140-74c7a4190105.txt,30726,30726,30726,30726,30726,30726,30726,"",0,2021-04-11-09-51,2021-04-11-09-56,5
s.d4e61234-372a-406e-8980-ca5dfbaa7602.txt,43731,43731,43731,43731,43731,43731,43731,"",0,2021-06-22-10-48,2021-06-22-10-57,9
s.e46cccc8-1794-4380-b1fc-cddbf53e4556.txt,27233,27233,27233,27233,27233,27233,27233,"",0,2021-01-29-15-41,2021-01-29-15-47,6
s.4cd3dc91-112c-4f60-8f6e-090e1f8c5c16.txt,17906,17906,17906,17906,17906,17906,17906,"",0,2021-07-24-09-49,2021-07-24-09-54,5
s.f746512e-1163-411a-930e-cf8175253c2e.txt,12492,12492,12492,12492,12492,12492,12492,"",0,2021-06-09-12-38,2021-06-09-12-42,4
s.1fc19902-8e0b-4cfa-807d-ad0aebfe33b0.txt,16747,16747,16747,16747,16747,16747,16747,"",0,2021-06-15-21-29,"",""
s.ae1e4000-d9ba-4712-9bda-d58d498c2a77.txt,17273,17273,17273,17273,17273,17273,17273,"",0,2021-07-08-18-09,2021-07-08-18-15,6
s.b0002051-e1c9-4265-9c2a-2e892520965d.txt,29705,29705,29705,29705,29705,29705,29705,"",0,2021-01-19-17-44,2021-01-19-17-50,6
s.48d47d38-49e3-4bc0-ac37-e33c902dec1e.txt,29134,29134,29134,29134,29134,29134,29134,"",0,2021-01-13-15-10,2021-01-13-15-16,6
s.fa5a2f4c-63fb-410e-8e01-825860e89d23.txt,24741,24741,24741,24741,24741,24741,24741,"",0,2021-07-12-18-34,2021-07-12-18-41,7
s.8b533cbf-5fd8-4aae-bfcc-71736273c621.txt,21487,21487,21487,21487,21487,21487,21487,"",0,2021-01-20-19-29,2021-01-20-19-35,6
s.36fdd013-d341-4429-aa7b-cfa568807ece.txt,24316,24316,24316,24316,24316,24316,24316,"",0,2021-07-13-17-28,2021-07-13-17-34,6
s.e034ba26-f1e0-41dd-add8-7e9e84a0abbc.txt,27550,27550,27550,27550,27550,27550,27550,"",0,2021-01-13-18-15,2021-01-13-18-22,7
s.d0527f07-eb07-413c-8cd1-4af4cc2b6d2a.txt,24622,24622,24622,24622,24622,24622,24622,"",0,2021-01-20-17-30,2021-01-20-17-36,6
s.7df02799-4dca-457d-b02e-5a3ef1111387.txt,33363,33363,33363,33363,33363,33363,33363,"",0,2021-04-29-18-00,2021-04-29-18-05,5
s.0dbad0af-8e8b-4684-88ac-0ad597c0f296.txt,23148,23148,23148,23148,23148,23148,23148,"",0,2021-07-22-12-21,2021-07-22-12-26,5
s.96bb39b3-b77f-4935-90c3-fe5810b48e55.txt,18856,18856,18856,18856,18856,18856,18856,"",0,2021-01-13-16-21,2021-01-13-16-27,6
s.d10c6873-34bc-4177-94cd-3f63b5eca022.txt,29167,29167,29167,29167,29167,29167,29167,"",0,2021-07-26-12-14,2021-07-26-12-20,6
s.8e3042a5-76f5-469b-80bb-029559b1d5e7.txt,24501,24501,24501,24501,24501,24501,24501,"",0,2021-05-18-16-16,2021-05-18-16-22,6
s.3abd5c33-d326-441e-9967-11f3ae34cc95.txt,17873,17873,17873,17873,17873,17873,17873,"",0,2021-01-22-11-07,2021-01-22-11-13,6
s.7781108d-a291-4417-9911-50177959d322.txt,17765,17765,17765,17765,17765,17765,17765,"",0,2020-12-28-22-15,"",""
s.3930dd7b-d266-4131-ac7b-c7f4947783af.txt,22495,22495,22495,22495,22495,22495,22495,"",0,2021-06-16-15-37,2021-06-16-15-42,5
s.1928901a-c09f-4c77-9fad-a8bb2b8d0355.txt,16228,16228,16228,16228,16228,16228,16228,"",0,2021-02-02-16-19,2021-02-02-16-25,6
s.2dc1978e-0cf0-4633-a5b9-36e734dc706a.txt,22269,22269,22269,22269,22269,22269,22269,"",0,2021-06-01-13-36,2021-06-01-13-42,6
s.060d5fdc-dee4-4535-b0eb-f77b397be92d.txt,39370,39370,39370,39370,39370,39370,39370,"",0,2021-06-01-15-39,2021-06-01-15-47,8
s.eaf00220-ef37-4699-9f22-884f2c84efc2.txt,27969,27969,27969,27969,27969,27969,27969,"",0,2021-06-08-16-06,2021-06-08-16-12,6
s.868cb4b6-9c5e-42d8-a382-77f8e46c7f62.txt,"","","","","","","","",0,2021-07-09-10-18,"",""
s.9620a795-2896-43ee-81e9-2cd8c1c6ee60.txt,16409,16409,16409,16409,16409,16409,16409,"",0,2020-12-21-21-24,"",""
s.abc8c778-d876-49ca-81ea-edfa49d12170.txt,37124,37124,37124,37124,37124,37124,37124,"",0,2021-05-05-18-36,2021-05-05-18-41,5
s.44f8e969-4093-4ee6-a520-ae5388722f14.txt,175110,175110,175110,175110,175110,175110,175110,"",0,2021-05-04-09-50,2021-05-04-09-58,8
s.f2acdeac-293d-4f80-8093-8c02b1c05dcc.txt,22406,22406,22406,22406,22406,22406,22406,"",0,2021-05-13-17-18,2021-05-13-17-23,5
s.14a4a89d-71ec-429e-aea7-e4c80487ff5a.txt,46299,46299,46299,46299,46299,46299,46299,"",0,2021-03-11-08-20,"",""
s.9bdd7e82-6215-499b-affc-bbd8fe1241af.txt,17918,17918,17918,17918,17918,17918,17918,"",0,2021-06-04-18-08,2021-06-04-18-13,5
s.55fafe59-333d-470d-b7db-f4ee74188c16.txt,18041,18041,18041,18041,18041,18041,18041,"",0,2020-12-21-18-57,"",""
