param                                 mean       std       2.5q       25q       50q       75q      97.5q    mc_err
a_subj(AN.food).1                 1.266322  0.057038   1.156303  1.226538   1.26639  1.306315   1.383138  0.001941
a_subj(AN.food).6                 1.351356  0.058328   1.248903  1.310781  1.346499  1.386759   1.483237  0.002504
a_subj(AN.food).7                 1.541692  0.056189   1.433554  1.503277  1.542132   1.57913   1.656288  0.001546
a_subj(AN.food).9                 1.144942   0.04759   1.053689  1.112839  1.145377  1.176415   1.243599  0.001532
a_subj(AN.food).10                1.635574  0.061705   1.513588   1.59427  1.634563  1.678767   1.758598  0.001881
a_subj(AN.food).11                1.522234  0.064485   1.404272  1.477988  1.519734  1.564646   1.647933  0.001901
a_subj(AN.food).12                1.404452  0.050347   1.310491  1.370365  1.403216  1.437967    1.50746  0.001643
a_subj(AN.food).13                0.886789  0.034681   0.822643   0.86276  0.885784  0.910025   0.956765  0.001019
a_subj(AN.food).14                1.544015  0.087792   1.385904  1.484533  1.539593  1.600296   1.721209  0.003533
a_subj(AN.food).19                 1.67596  0.064567   1.557078  1.630595  1.673949    1.7193   1.813565  0.001563
a_subj(AN.food).20                1.390272  0.056585   1.282153  1.353591  1.388646  1.428033    1.50329  0.001432
a_subj(AN.food).21                1.412568  0.060327   1.296274  1.370277  1.412765  1.455333   1.530516  0.002045
a_subj(AN.food).24                 1.26289  0.064241   1.144646  1.218298  1.260116   1.30577   1.396364  0.002462
a_subj(AN.food).25                1.313472  0.067549   1.189615   1.26642  1.311219  1.355602   1.456966  0.002373
a_subj(AN.food).26                1.232913  0.048438   1.140184  1.199915   1.23267   1.26304   1.331835   0.00166
a_subj(AN.food).28                1.595992  0.064058   1.476112  1.553583  1.594349  1.638563   1.728118  0.001879
a_subj(AN.food).30                1.297697  0.052122   1.201265  1.260452  1.296966  1.331782   1.403836   0.00189
a_subj(AN.food).31                 1.63828  0.069501    1.51474  1.588441   1.63461  1.682988   1.786276  0.002496
a_subj(AN.food).32                1.314069  0.050119   1.217613  1.281377  1.313643  1.346573   1.417269  0.001416
a_subj(AN.food).34                1.598231  0.069547   1.473005  1.549857  1.593237   1.64293   1.740425  0.002411
a_subj(AN.food).35                1.390026  0.070607   1.248255  1.343032  1.393017  1.439929   1.520745  0.003484
a_subj(AN.food).36                 1.45018   0.05863   1.344573  1.409104  1.449456  1.489146   1.569779  0.001639
