subj_idx,choice,reward,n_trials
1,1,1,320
1,2,-1,320
1,1,-1,320
1,1,1,320
1,2,1,320
1,1,1,320
1,1,-1,320
1,2,1,320
1,2,-1,320
1,1,1,320
1,1,-1,320
1,1,1,320
1,2,-1,320
1,1,1,320
1,2,1,320
1,2,-1,320
1,1,1,320
1,2,1,320
1,1,1,320
1,1,1,320
1,2,-1,320
1,1,1,320
1,1,-1,320
1,1,1,320
1,1,1,320
1,1,1,320
1,1,1,320
1,1,-1,320
1,1,1,320
1,2,-1,320
1,2,-1,320
1,2,-1,320
1,1,-1,320
1,1,1,320
1,1,1,320
1,1,1,320
1,1,-1,320
1,1,1,320
1,2,1,320
1,1,1,320
1,1,1,320
1,2,1,320
1,2,1,320
1,2,1,320
1,1,-1,320
1,1,1,320
1,1,-1,320
1,1,-1,320
1,1,-1,320
1,1,1,320
1,2,-1,320
1,2,1,320
1,2,1,320
1,2,1,320
1,1,-1,320
1,2,1,320
1,1,-1,320
1,1,1,320
1,2,-1,320
1,1,1,320
1,2,-1,320
1,2,-1,320
1,1,-1,320
1,1,-1,320
1,1,1,320
1,1,-1,320
1,1,-1,320
1,1,-1,320
1,1,1,320
1,1,1,320
1,2,1,320
1,1,-1,320
1,1,-1,320
1,2,1,320
1,1,-1,320
1,2,1,320
1,1,-1,320
1,1,-1,320
1,2,1,320
1,1,-1,320
1,1,-1,320
1,2,1,320
1,2,1,320
1,1,1,320
1,1,1,320
1,1,-1,320
1,2,-1,320
1,1,-1,320
1,2,-1,320
1,1,1,320
1,1,1,320
1,1,1,320
1,1,-1,320
1,1,1,320
1,1,1,320
1,2,-1,320
1,2,1,320
1,1,1,320
1,2,-1,320
1,1,-1,320
1,2,-1,320
1,2,1,320
1,1,1,320
1,2,1,320
1,1,1,320
1,2,1,320
1,2,-1,320
1,2,1,320
1,2,1,320
1,1,1,320
1,2,-1,320
1,1,1,320
1,2,-1,320
1,2,-1,320
1,1,1,320
1,2,-1,320
1,1,1,320
1,2,-1,320
1,2,-1,320
1,2,-1,320
1,2,1,320
1,2,1,320
1,2,-1,320
1,2,1,320
1,1,-1,320
1,2,1,320
1,2,-1,320
1,2,-1,320
1,1,-1,320
1,2,1,320
1,2,1,320
1,2,1,320
1,2,-1,320
